CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Februari 2017 s/d 28 Februari 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;Pembayaran Gaji PNS Bulan Februari 2017 14/31 jiwa;Rp44.780.900;GAJI INDUK;2;2017
2;"Penyediaan Uang Persediaan Rupiah Murni Satker MADRASAH ALIYAH
NEGERI BAGAN SIAPI-API KAB. ROKAN HILIR Tahun  2017";Rp15.000.000;UANG PERSEDIAAN;2;2017
3;"Penyediaan Tambahan Uang Persediaan pada Satker MAN Bagansiapiapi
Tahun 2017.";Rp116.433.000;TAMBAH UANG PERSEDIAAN;2;2017
4;"Pembayaran Kekurangan Gaji PNS An, M. Syafri Johan, S. Ag dkk Bulan
Oktober 2016 s/d Januari 2017 pada Satker MAN Bagansiapiapi.";Rp2.270.000;KEKURANGAN GAJI;2;2017
5;Pembayaran Gaji PNS bulan Maret 2017 untuk 14 pegawai / 31 jiwa;Rp44.780.900;GAJI INDUK;2;2017
6;"Pembayaran belanja pegawai tunjangan profesi guru pns bulan januari 2017
An. Muhammad fuad, M.Pd dkk sesuai dengan SK Dirjen pendidikan Islam Nomor : DJ.I/502/2010 tanggal 08 Agustus 2010, Nomor : 1578 Tahun 2013
tanggal 13 September 2013 p";Rp18.084.400;GAJI LAINNYA;2;2017
7;"Pembayaran belanja barang bulan januari 2017 sesuai dengan SK Kepala
MAN Bagansiapiapi nomor : 229-233/Ma.04.18/Kp.00/12/2016 Tanggal 31 Desember 2016 pada satker MAN Bagansiapiapi.";Rp8.330.000;NON GAJI;2;2017
8;"Pembayaran tunjangan kinerja bulan januari 2017 untuk 4 (pegawai) An. M.
Syafri Johan, S.Ag dkk pada satker MAN Bagansiapiapi.";Rp9.190.200;GAJI LAINNYA;2;2017
9;"Pembayaran belanja pegawai uang makan pns bulan januari 2017 untuk 14
(pegawai) An. Muhammad Fuad, M.Pd dkk pada satker MAN Bagansiapiapi.";Rp9.324.400;GAJI LAINNYA;2;2017
