CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Maret 2017 s/d 31 Maret 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;Pembayaran gaji PNS bulan April 2017 untuk 14 pegawai/13 Jiwa.;Rp45.702.600;GAJI INDUK;3;2017
2;Penggantian Uang Persediaan untuk Keperluan Belanja Barang.;Rp4.086.000;GANTI UANG PERSEDIAAN;3;2017
3;"Pembayaran Belanja Bantuan Sosial sesuai dengan SK Kepala MAN
Bagansiapiapi Nomor : 07 Tahun 2017 Tanggal 27 Februari 2017 Pada Satker MAN Bagansiapiapi.";Rp150.000.000;NON GAJI;3;2017
4;Penggantian Uang Persediaan untuk Keperluan Belanja Barang.;Rp10.872.587;GANTI UANG PERSEDIAAN;3;2017
5;"Pembayaran belanja pegawai tunjangan profesi guru PNS bulan Februari
2017 An. Muhammad Fuad, M.Pd dkksesuai dengan SK Dirjen Pendidikan Islam Nomor : DJ.I/502/2010 tanggal 08 Agustus 2010 Nomor : 1578 Tahun 2013 tanggal 13 September 2013.";Rp18.084.400;GAJI LAINNYA;3;2017
6;"Pembayaran tunjangan kinerja bulan Februari 2017 untuk 4 (pegawai) An. M.
Syafri Johan S.Ag dkk pada Satker MAN Bagansiapiapi.";Rp9.124.800;GAJI LAINNYA;3;2017
7;"Pembayaran belanja barang bulan Februari 2017 sesuai dengan SK Kepala
MAN Bagansiapiapi Nomor : 229-233/Ma.04.18/Kp.00/12/2016 tanggal 31 Desember 2016 pada Satker Man Bagansiapiapi.";Rp8.330.000;NON GAJI;3;2017
8;"Pembayaran belanja pegawai uang makan PNS bulan Februari 2017 untuk 14
(pegawai) An. Muhammad Fuad, M.Pd dkk pada satker MAN Bagansiapiapi.";Rp9.354.400;GAJI LAINNYA;3;2017
9;"Pembayaran Kekurangan gaji PNS An. Yanti dkk bulan januari s/d maret 2017
pada satker MAN Bagansiapiapi.";Rp1.949.300;KEKURANGAN GAJI;3;2017
