CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Mei 2017 s/d 31 Mei 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran kekurangan gaji PNS pada bulan Februari 2017 s/d Mei 2017
Untuk NURMIWATI (Satu Orang Pegawai) Nomor SPP 00041 Mr.J Tanggal 15 Mei 2017";Rp384.000;KEKURANGAN GAJI;5;2017
2;"Penggantian uang persediaan untuk keperluan belanja barang Nomor SPP
00038 Mr.J Tanggal 04 Mei 2017 Pada Satker MAN Bagansiapiapi";Rp3.645.870;GANTI UANG PERSEDIAAN;5;2017
3;"Pembayaran belanja pegawai Tunjangan Profesi Guru pada bulan April 2017
An Muhammad Fuad, M.Md dkk sesuai SK Dirjen pendidikan Islam NO: DJ.1/502/2010 Tgl 08 Agustsus 2010, NO 1578 Tahun 2013 Tgl 13 Septembe r 2013 No SPP  00035Mr.J Tgl 03";Rp26.603.335;GAJI LAINNYA;5;2017
4;"Pembayaran belanja barang  pada bulan April 2017 sesuai SK Kepala MAN
Bagansiapiapi Nomor: 229-223/Ma.04.18/KP.00/12/2016 Tanggal 31 Desembe r 2016 Nomor SPP 00039 Mr.J Tanggal 04 Mei 2017 Pada Satker MAN Bagans iapiapi";Rp8.330.000;NON GAJI;5;2017
5;"Penggantian uang persediaan untuk keperluan belanja barang Nomor SPP
00037 Mr.J Tanggal 04 Mei 2017 Pada Satker MAN Bagansiapiapi";Rp6.346.000;GANTI UANG PERSEDIAAN;5;2017
6;"Pembayaran Gaji PNS Bulan Mei 2017 untuk 14 Pegawai/31 Jiwa Nomor SPP.
00029 Tanggal 03 April 2017.";Rp45.702.600;GAJI INDUK;5;2017
7;"Penggantian uang persediaan untuk keperluan belanja barang Nomor SPP:
00046Mr.J Tanggal 22 Mei 2017";Rp3.450.000;GANTI UANG PERSEDIAAN;5;2017
8;"Pembayaran uang makan PNS Pada bulan Maret 2017 untuk Samudin, S.Pd
(1 orang pegawai) dan Pembayaran uang makan PNS Pada bulan April 2017 untuk Muhammad Fuad, M.Pd dkk (15 orang pegawai) Nomor SPP 00044 Mr.J Tanggal 18 Mei 2017";Rp10.843.000;GAJI LAINNYA;5;2017
9;"Penggantian uang persediaan untuk keperluan belanja barang Nomor: SPP
00045Mr.J Tanggal 22 Mei 2017";Rp10.800.500;GANTI UANG PERSEDIAAN;5;2017
