CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Juni 2017 s/d 30 Juni 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Juni 2017 untuk 15 orang Pegawai/36 jiwa
Nomor SPP 00043 Mr.J Tanggal 18 Mei 2017";Rp50.211.800;GAJI INDUK;6;2017
2;"Pembayaran belanja pegawai Tunjangan Profesi Guru pada bulan Mei 2017
An Muhammad Fuad, M.Pd dkk sesuai SK Dirjen pendidikan Islam NO: DJ.1/ 502/2010 Tgl 08 Agustsus 2010, NO 1578 Tahun 2013 Tgl 13 September2013
No SPP 00050 Mr.J Tgl 05-06-";Rp18.311.545;GAJI LAINNYA;6;2017
3;"Pembayaran uang makan PNS Pada bulan Mei 2017 untuk Muhammad
Fuad,MPd dkk (15 orang pegawai) Nomor SPP 00049 Mr.J Tanggal 05 Juni 2017";Rp9.296.000;GAJI LAINNYA;6;2017
4;"Pembayaran belanaja barang, THR PPNPN Sesuai SK NO: 053/KU.00/2017
Tanggal 15 Juni 2017 SPP NOmor 00059 Mr.J Tanggal 19 Juni 2017";Rp8.500.000;NON GAJI;6;2017
5;"Pembayaran Tunjangan Hari Raya (THR) TA 2017 SPP Nomor 00056 Mr.J
Tang gal 19 Juni 2017";Rp45.000.400;GAJI LAINNYA;6;2017
6;"Pembayaran belanja barang pada bulan Mei 2017 sesuai SK Kepala MAN
Bagansiapiapi Nomor: 229-223/Ma.04.18/KP.00/12/2016 Tanggal 31 Desembe r 2016 Nomor SPP 00047 Mr.J Tanggal 09 Juni 2017 pada satker MAN Bagan siapiapi";Rp8.330.000;NON GAJI;6;2017
7;"Penggantian uang persediaan untuk keperluan belanja barang SPP NOMOR
00054 Mr.J Tanggal 09 jUNI 2017";Rp11.032.252;GANTI UANG PERSEDIAAN;6;2017
8;"Penggantian uang persediaan unntuk keperluan belanja barang SPP NO
00053 Mr.J Tanggal 09 Juni 2017";Rp3.967.748;GANTI UANG PERSEDIAAN;6;2017
9;"Pembayaran belanja Tunjangan kinerja PNS pada bulan Maret 2017 Untuk
Samudin, S.Pd (1 orang pegawai) dan pembayaran Tunjangan kinerja PNS Pada Bulan April 2017 s/d Bulan Mei 2017 untuk M.SYAFRI JOHAN dkk (5 orang pegawai) SPP Nomor 00052 Mr";Rp2.7108.000;GAJI LAINNYA;6;2017
