CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Juli 2017 s/d 31 Juli 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Juli 2017 untuk 14 orang Pegawai/32 jiwa
Nomor SPP 00048 Mr.J Tanggal 05 jUNI 2017";Rp47.953.200;GAJI INDUK;7;2017
2;"Pembayaran Gaji Bulan Ketigabelas TA 2017 Untuk Muhammad Fuad dkk (14
orang) pegawai SPP Nomor 00066 Mr.J Tanggal 10 jULI 2017";Rp49.579.500;GAJI LAINNYA;7;2017
3;"Pembayaran uang makan PNS Pada bulan Juni 2017 untuk Muhammad
Fuad,MPd dkk (15 orang pegawai) Nomor SPP 00068 Mr.J Tanggal 10 Juli 2017";Rp5.156.800;GAJI LAINNYA;7;2017
4;"Pembayaran belanja pegawai Tunjangan Profesi Guru pada bulan Juni 2017
An Muhammad Fuad, M.Pd dkk sesuai SK Dirjen pendidikan Islam NO: DJ.1/ 502/2010 Tgl 08 Agustsus 2010, NO 1578 Tahun 2013 Tgl 13 September2013
No SPP 00060 Mr.J Tgl 06-07";Rp23.792.285;GAJI LAINNYA;7;2017
5;"Pembayaran Tunjangan Kinerja Ke-13 TA 2017 untuk M.Safri Johan dkk (5
ORANG) Pegawai SPP Nomor 00057 Mr.J Tanggal 06 Juli 2017";Rp12.246.000;GAJI LAINNYA;7;2017
6;"Pembayaran Gaji Bulan Ketigabelas TA 2017 Untuk Haryanto (1 orang)
Pegawai SPP Nomor 00064 Mr.J Tanggal 06 Juli 2017";Rp2.922.900;GAJI LAINNYA;7;2017
7;"Pembayaran belanja barang pada bulan Juni 2017 sesuai SK Kepala MAN
Bagansiapiapi Nomor: 229-223/Ma.04.18/KP.00/12/2016 Tanggal31 Desember 2016 Nomor SPP 00062 Mr.J Tanggal 04 Juli 2017 pada satker MAN Bagan siapiapi";Rp8.330.000;NON GAJI;7;2017
8;"Penggantian uang persediaan untuk keperluan belanja barang SPP Nomor:
00061 Mr.J Tanggal 04 Juli 2017";Rp3.328.000;GANTI UANG PERSEDIAAN;7;2017
9;"Penggantian uang persediaan untuk keperluan belanja barang SPP Nomor:
00063 Mr.J Tanggal 04 Juli 2017";Rp11.671.439;GANTI UANG PERSEDIAAN;7;2017
10;"Pembayaran gaji sususlan pada bulan Juli 2017 untuk Haryanto ( satu orang)
pegawai SPP Nomor 00067 Mr.J Tanggal 18 Juli 2017";Rp2.933.300;GAJI SUSULAN;7;2017
