CATATAN PENGELUARAN;;;;;
Tahun 2017;;;;;
Tanggal : 01 Agustus 2017 s/d 31 Agustus 2017;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Agustus 2017 untuk 14 orang Pegawai/32
jiwa Nomor SPP00065 Mr.J Tanggal 06 jULI 2017";Rp47.953.200;GAJI INDUK;8;2017
2;"Pembayaran belanja barang sesuai SK Kepala MAN Bagansiapiapi no 01-02
Tahun 2017 Tanggal 01 April 2017 SPP NO 00081 Mr.J Tanggal 16-08-2017";Rp2.288.000;NON GAJI;8;2017
3;"Penggantian uang persediaan untuk keperluan belanja barang sPP NO
00085Mr.J Tanggal 16-Agustus 2017";Rp800.000;GANTI UANG PERSEDIAAN;8;2017
4;"Penggantian uang persediaan untuk keperluan belanja barang spp no
00084Mr.J Tanggal 16-08-2017";Rp14.152.000;GANTI UANG PERSEDIAAN;8;2017
5;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00083 Mr.J Tanggal 12 Agustus 2017";Rp3.499.990;GANTI UANG PERSEDIAAN;8;2017
6;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00082 Mr.J Tanggal 12 Agustus 2017";Rp11.500.000;GANTI UANG PERSEDIAAN;8;2017
7;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00079 Mr.J Tanggal 08-08-2017";Rp13.000.000;GANTI UANG PERSEDIAAN;8;2017
8;"Penggantian uang persediaan untuk keperluan belanja baranga spp no
00080 Mr.J Tanggal 08-08-2017";Rp1.932.000;GANTI UANG PERSEDIAAN;8;2017
9;"Penggantian uang persediaan untuk keperluan belanja barang spp no 00076
Mr.J Tanggal 01-08-2017";Rp2.601.930;GANTI UANG PERSEDIAAN;8;2017
10;"Pembayaran belanja pegawai Tunjangan Profesi Guru pada bulan Juli 2017
An Muhammad Fuad, M.Pd dkk sesuai SK Dirjen pendidikan Islam NO: DJ.1/ 502/2010 Tgl 08 Agustsus 2010, NO 1578 Tahun 2013 Tgl 13 September2013
No SPP 00071 Mr.J Tgl 01-08";Rp23.792.285;GAJI LAINNYA;8;2017
11;"Penggantian uang persediaan untuk keperluan belanja barang spp no 00075
Mr.J Tanggal 01-08-2017";Rp12.398.000;GANTI UANG PERSEDIAAN;8;2017
12;"Pembayaran belanja barang pada bulan Juli 2017 sesuaiSK Kepala MAN
Bagansiapiapi Nomor: 229-223/Ma.04.18/KP.00/12/2016 Tanggal31 Desember 2016 Nomor SPP 00070 Mr.J Tanggal 01 Agustus 2017 pada satker MAN Bagan siapiapi";Rp8.330.000;NON GAJI;8;2017
13;"Pembayaran uang makan PNS Pada bulan Juli 2017 untuk Muhammad
Fuad,MPd dkk (14 orang pegawai) Nomor SPP 00073 Mr.J Tanggal 01 Agustus 2017";Rp10.071.550;GAJI LAINNYA;8;2017
14;"Pembayaran Tunjangan Kinerja Bulan Juni s/d Juli 2017 untuk 4(Pegawai) An.
M. Syafrijohan,S.Ag dkk Nomor SPP. 00072 tanggal 01 Agustus 2017 pada Satker MAN Bagansiapiapi.";Rp19.260.000;GAJI LAINNYA;8;2017
15;"Pembayaran belanja barang sesuai SPD NO 127, Tgl 01-07-2017, NO 140 tGL
08-07-2017 DAN NO 147 Tgl 24-07-2017 SPP NO 00077 Tgl 01-08-2017";Rp3.100.000;NON GAJI;8;2017
16;"Pembayaran Gaji susulan pada Bulan Agustus 2017 untuk Harianto(1 orang
pegawai) SPP Nomor 00055Mr.J Tanggal 14 Agustus 2017";Rp2.933.300;GAJI SUSULAN;8;2017
