CATATAN PENGELUARAN;;;;;
Tahun 2018;;;;;
Tanggal : 01 Oktober 2018 s/d 31 Oktober 2018 ;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Oktober 2018 Untuk Dra Rahmawati dkk
SPP NO 0125 Tanggal 03 September 2018";Rp40.163.200;GAJI INDUK;10;2018
2;"Pembayaran belanja Pegawai ( Tunjangan Profesi Guru PNS) sesuai SK NO 77
Tahun 2018 Tanggal 01 Oktober 2018 SPP NO 00143 Tanggal 01 Oktober
2018";Rp21.034.945;GAJI LAINNYA;10;2018
3;"Pembayaran belanja Pegawai (Tunjangan Kinerja PNS Pada Bulan September
2018) Untuk Indra S.Sos dkk 4 orang pegawai SPP NO 00144 Tanggal 01
Oktober 2018";Rp9.498.060;GAJI LAINNYA;10;2018
4;"Pembayaran belanja barang sesuai SK NO 70 Tahun 2018 Tanggal 03
September 2108 SPP NO 00145 Tanggal 01 Oktober 2018";Rp380.000;NON GAJI;10;2018
5;"Pembayaran belanja barang sesuai SPD NO B-330/2018 Tahun 2108 Tanggal
06 Agustus 2018 dan SPD NO B-365/2018 Tahun 2108 Tanggal 15
September 2018 SPP NO 00147 Tanggal 01 Oktober 2018";Rp2.100.000;NON GAJI;10;2018
6;"Pembayaran belanja barang pada bulan September 2018 sesuai SK Kepala
MAN 1 Rokan Hilir No 62-66 Tahun 2017 Tanggal 31 Desember 2017 SPP
NO 00149 Tanggal 01 Oktober 2018";Rp8.330.000;NON GAJI;10;2018
7;"Pembayaran uang makan pada Bulan September 2018 untuk Dra Rahmawati
dkk (12 orang pegawai) SPP NO 00141 Tanggal 01 Oktober 2018";Rp9.164.550;GAJI LAINNYA;10;2018
8;"Pembayaran belanja barang sesuai SK NO 11 Tahun 2018 Tgl 16 Januari 2018
dan SK NO 72 Tahun 2018 Tanggal 03 September 2018 SPP NO 00146
Tanggal 01 Oktober 2018";Rp1.600.000;NON GAJI;10;2018
9;"Pembayaran belanja barang sesuai SK NO 70 TH 2018 Tgl 03 September
2018 SPP NO 00142 Tanggal 01 Oktober 2018";Rp2.200.000;NON GAJI;10;2018
10;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00148 Tanggal 01 Agustus 2018";Rp19.188.000;GANTI UANG PERSEDIAAN;10;2018
11;"Penggantian uang persediaan untuk keperluan belanja barang SPP NO
00150 Tanggal 18 Oktober 2018";Rp18.044.632;GANTI UANG PERSEDIAAN;10;2018
