CATATAN PENGELUARAN;;;;;
Tahun 2018;;;;;
Tanggal : 01 Februari 2018 s/d 28 Februari 2018 ;;;;;
;;;;;
Nama Sekolah;: MAN 1 ROKAN HILIR;;;;
Desa/Kecamatan;: BANGKO;;;;
Kabupaten;: ROKAN HILIR;;;;
Provinsi;: RIAU;;;;
;;;;;
ID;Keterangan; Jumlah;Jenis Penggunaan Dana;Bulan;Tahun
1;"Pembayaran Gaji PNS Pada Bulan Februari 2018 untuk 12 orang Pegawai/30
jiwa Nomor SPP 0002 Tanggal 23 Januari 2018";Rp36.842.900;GAJI INDUK;2;2018
2;"Penyediaan Uang Persediaan Rupiah Murni Satker MADRASAH ALIYAH
NEGERI BAGAN SIAPI-API KAB. ROKAN HILIR Tahun  2018 SPP NO 03 Tgl 05
Februari 2018";Rp20.000.000;UANG PERSEDIAAN;2;2018
3;"Pembayaran belanja pegawai Tunjangan Profesi Guru Pada bulan Januari
2018 untuk Dra Rahmawai dkk (7 orang pegawai) sesuai SK Dirjend Pendidikan Islam No: Dj.1/502/2010 Tanggal 08 Agustus 2010 No 1578 Tahun 2013 Tanggal 13 September 2013 SPP";Rp20.935.495;GAJI LAINNYA;2;2018
4;"Pembayaran belanja Modal sesuai SPK NO 01/MA.IR/SPK/2018 Tanggal 23
Januari 2018 BAST NO B-044/Ma.04.18/KU.00.1/01/2018 Tanggal 31 Januari 2018 BAP B-043/Ma.04.18/KU.00.1/01/2018 Tanggal 31 Januari 2018 SPP NO
0006 Tanggal 05 Februari 2018";Rp44.500.908;NON GAJI;2;2018
5;"Pembayaran tunjangan Kinerja untuk bulan Januari 2018 untuk Samudin dkk
(3 orang Pegawai) SPP NO 0008 Tanggal 05 Februari 2018";Rp6.605.670;GAJI LAINNYA;2;2018
6;"Pembayaran uang makan PNS Pada bulan Januari 2018 untuk Dra Rahmawati
dkk (11 orang Pegawai)Nomor SPP 0007 Tanggal 05 Februari 2018";Rp8.250.350;GAJI LAINNYA;2;2018
7;"Pembayaran belanja barang sesuai SPD N0 01 Tanggal 02 Januari 2018 N0
018 Tanggal 17 Januari 2018, N0 020 Tanggal 19 Januari 2018, dan N0 09
Tanggal 09 Januari 2018 SPP N0 010 Tanggal 05 Februari 2018";Rp7.175.800;NON GAJI;2;2018
8;"Pembayaran belanja barang pada bulan Januari 2018 sesuai SK Kepala MAN
1 Rokan Hilir No 62 - 66 Tahun 2017 Tanggal 31 Desember 2017 SPP NO
0004 Tanggal 06 Februari 2018";Rp8.330.000;NON GAJI;2;2018
