Nama;Rasio;Satuan;Keterangan;Tahun
Ruang Belajar;10;Ruangan;Ruang Belajar;2015
Kursi Siswa;1;Buah Per Siswa;Ruang Belajar;2015
Meja Siswa;1;Buah Per Siswa;Ruang Belajar;2015
Kursi Guru;1;Buah Per Ruangan;Ruang Belajar;2015
Lemari;1;Buah Per Ruangan;Ruang Belajar;2015
Papan Tulis;1;Buah Per Ruangan;Ruang Belajar;2015
Tempat Sampah;1;Buah Per Ruangan;Ruang Belajar;2015
Stop Kontak;1;Buah Per Ruangan;Ruang Belajar;2015
Perpustakaan;1;Ruangan;Ruang Perpustakaan;2015
Buku Teks Pelajaran;1;Buku Per Mata Pelajaran Per Siswa;Ruang Perpustakaan;2015
Buku Teks Pelajaran;2;Buku Per Mata Pelajaran Per Sekolah;Ruang Perpustakaan;2015
Buku Panduan Guru;1;Buku Per Mata Pelajaran;Ruang Perpustakaan;2015
Buku Pengayaan;600;Judul Per Sekolah;Ruang Perpustakaan;2015
Buku Referensi;20;Judul Per Sekolah;Ruang Perpustakaan;2015
Sumber Belajar Lain;25;Judul Per Sekolah;Ruang Perpustakaan;2015
Meja Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2015
Lemari Katalog;1;Buah Per Sekolah;Ruang Perpustakaan;2015
Lemari;1;Buah Per Sekolah;Ruang Perpustakaan;2015
Rak Buku;1;Set Per Sekolah;Ruang Perpustakaan;2015
Meja Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2015
Kursi Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2015
Kursi Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2015
Tempat Sampah;1;Buah Per Ruangan;Ruang Perpustakaan;2015
Stop Kontak;1;Buah Per Ruangan;Ruang Perpustakaan;2015
Jam Dinding;1;Buah Per Ruangan;Ruang Perpustakaan;2015
Laboratorium Fisika Kimia dan Biologi;1;Ruangan;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Kursi;1;Buah Per Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Meja;1;Buah Per 3 Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Lemari Alat;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Lemari Bahan;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Model Kerangka Manusia;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Mikroskop Monokuler;2;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Mister;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Rolmeter;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Jangka Sorong;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Papan Tulis;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Botol Zat;24;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Gelas Kimia;12;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Botol Semprot;15;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Ph Meter;2;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Kaca Arlogi;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Pipet Tetes;50;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2015
Laboratorium Komputer;1;Ruangan;Ruang Laboratorium Komputer;2015
Kursi Siswa;1;Buah per Siswa;Ruang Laboratorium Komputer;2015
Meja Siswa;1;Buah per dua siswa;Ruang Laboratorium Komputer;2015
Meja Guru;1;Buah;Ruang Laboratorium Komputer;2015
Kursi Guru;1;Buah;Ruang Laboratorium Komputer;2015
Komputer;1;Unit per dua siswa;Ruang Laboratorium Komputer;2015
Papan Tulis;1;Buah;Ruang Laboratorium Komputer;2015
Tempat Sampah;1;Buah;Ruang Laboratorium Komputer;2015
Kursi Pimpinan;1;Buah;Ruang Pimpinan;2015
Meja Pimpinan;1;Buah;Ruang Pimpinan;2015
Kursi dan Meja Tamu;1;Set;Ruang Pimpinan;2015
Lemari;1;Buah;Ruang Pimpinan;2015
Papan Statistik;1;Buah;Ruang Pimpinan;2015
Simbol Kenegaraan;1;Set;Ruang Pimpinan;2015
Tempat Sampah;1;Buah;Ruang Pimpinan;2015
Ruang Kuriulum;1;Ruangan;Ruangan Kurikulum;2015
Kursi Kerja;1;Buah per Petugas;Ruangan Kurikulum;2015
Meja Kerja;1;Buah Per Petugas;Ruangan Kurikulum;2015
Printer;1;Unit;Ruangan Kurikulum;2015
Lemari;5;Buah;Ruangan Kurikulum;2015
Ruang Guru dan Wakil Kepala;2;Ruangan;Ruang Guru;2015
Kursi Kerja;1;Buah Per Guru;Ruang Guru;2015
Meja Kursi;1;Buah Per Guru;Ruang Guru;2015
Lemari;1;Buah Per Ruangan;Ruang Guru;2015
Papan Pengumuman;1;Buah;Ruang Guru;2015
Tempat Sampah;1;Buah;Ruang Guru;2015
Jam Dinding;1;Buah;Ruang Guru;2015
Ruang Administrasi;1;Ruangan;Ruang Administrasi;2015
Kursi Kerja;1;Buah Per Petugas;Ruang Administrasi;2015
Meja Kursi;1;Buah Per Petugas;Ruang Administrasi;2015
Lemari;1;Buah;Ruang Administrasi;2015
Printer;1;Unit;Ruang Administrasi;2015
Komputer;1;Buah ;Ruang Administrasi;2015
Tempat Sampah;1;Buah;Ruang Administrasi;2015
