Nama;Jumlah;Fasilitas;Tahun
Ruang Kelas X IIS 1;1;Ruang Belajar;2019
Ruang Kelas X IIS 2;1;Ruang Belajar;2019
Ruang Kelas X IIS 3;1;Ruang Belajar;2019
Ruang Kelas X MIA;1;Ruang Belajar;2019
Ruang Kelas XI IPS 1;1;Ruang Belajar;2019
Ruang Kelas XI IPS 2;1;Ruang Belajar;2019
Ruang Kelas XI IPS 3;1;Ruang Belajar;2019
Ruang Kelas XI IPA;1;Ruang Belajar;2019
Ruang Kelas XII IPS 1;1;Ruang Belajar;2019
Ruang Kelas XII IPS 2;1;Ruang Belajar;2019
Ruang Kelas XII IPS 3;1;Ruang Belajar;2019
Ruang Kelas XII IPA;1;Ruang Belajar;2019
Ruang Perpustakaan;1;Ruang Perpustakaan;2019
Laboratorium Fisika;1;Ruang Laboratorium Fisika;2019
Laboratorium Kimia;1;Ruang Laboratorium Kimia;2019
Laboratorium Bahasa;1;Ruang Laboratorium Bahasa;2019
Laboratorium Biologi;1;Ruang Laboratorium Biologi;2019
Laboratorium Komputer 1;1;Ruang Laboratorium Komputer;2019
Laboratorium Komputer 2;1;Ruang Laboratorium Komputer;2019
Ruang Kerja Pimpinan;1;Ruang Pimpinan;2019
Ruang Kerja Kuriulum dan Wakakil Kepala Kurikulum;1;Ruang Kurikulum;2019
Ruang Kerja Wakil Kepala Kesiswaan;1;Ruang WAKA Kesiswaan;2019
Ruang Kerja Wakil Kepala Humas;1;Ruang WAKA Humas;2019
Ruang Kerja Wakil Kepala Sarana dan Prasarana;1;Ruang WAKA Sarana dan Prasarana;2019
Ruang Guru;1;Ruang Guru;2019
Ruang Kerja Bendahara;1;Ruang Bendahara;2019
Ruang Kerja anggota Administrasi;1;Ruang Administrasi;2019
Ruang Kerja Kepala Administrasi;1;Ruang Administrasi;2019
Ruang Aula dan Tempat Ibadah;1;Aula dan Tempat Ibadah;2019
Ruang Kerja Konseling;1;Ruang Konseling;2019
UKS;1;Ruang UKS;2019
Ruang Organisasi;1;Ruang Organisasi;2019
Toilet Siswa wanita;1;Toilet;2019
Toilet Siswa Pria;1;Toilet;2019
Toilet Guru dan Karyawan;1;Toilet;2019
Gudang;1;Gudang;2019
Tempat Bermain Kesenian dan Upacara;1;Tempat Bermain Kesenian dan Upacara;2019
Kantin;1;Kantin;2019
Tempat Parkir Utama;1;Tempat Parkir;2019
Tempat Parkir;1;Tempat Parkir;2019
