Nama;Rasio;Satuan;Keterangan;Tahun
Ruang Belajar;11;Ruangan;Ruang Belajar;2016
Kursi Siswa;1;Buah Per Siswa;Ruang Belajar;2016
Meja Siswa;1;Buah Per Siswa;Ruang Belajar;2016
Kursi Guru;1;Buah Per Ruangan;Ruang Belajar;2016
Lemari;1;Buah Per Ruangan;Ruang Belajar;2016
Papan Tulis;1;Buah Per Ruangan;Ruang Belajar;2016
Tempat Sampah;1;Buah Per Ruangan;Ruang Belajar;2016
Stop Kontak;1;Buah Per Ruangan;Ruang Belajar;2016
Perpustakaan;1;Ruangan;Ruang Perpustakaan;2016
Buku Teks Pelajaran;1;Buku Per Mata Pelajaran Per Siswa;Ruang Perpustakaan;2016
Buku Teks Pelajaran;2;Buku Per Mata Pelajaran Per Sekolah;Ruang Perpustakaan;2016
Buku Panduan Guru;1;Buku Per Mata Pelajaran;Ruang Perpustakaan;2016
Buku Pengayaan;600;Judul Per Sekolah;Ruang Perpustakaan;2016
Buku Referensi;20;Judul Per Sekolah;Ruang Perpustakaan;2016
Sumber Belajar Lain;25;Judul Per Sekolah;Ruang Perpustakaan;2016
Meja Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2016
Lemari Katalog;1;Buah Per Sekolah;Ruang Perpustakaan;2016
Lemari;1;Buah Per Sekolah;Ruang Perpustakaan;2016
Rak Buku;1;Set Per Sekolah;Ruang Perpustakaan;2016
Meja Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2016
Kursi Baca;10;Buah Per Sekolah;Ruang Perpustakaan;2016
Kursi Kerja;1;Buah Per Petugas;Ruang Perpustakaan;2016
Tempat Sampah;1;Buah Per Ruangan;Ruang Perpustakaan;2016
Stop Kontak;1;Buah Per Ruangan;Ruang Perpustakaan;2016
Jam Dinding;1;Buah Per Ruangan;Ruang Perpustakaan;2016
Laboratorium Fisika Kimia dan Biologi;1;Ruangan;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Kursi;1;Buah Per Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Meja;1;Buah Per 3 Siswa;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Lemari Alat;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Lemari Bahan;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Model Kerangka Manusia;1;Buah Per Lab;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Mikroskop Monokuler;2;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Mister;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Rolmeter;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Jangka Sorong;6;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Papan Tulis;1;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Botol Zat;24;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Gelas Kimia;12;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Botol Semprot;15;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Ph Meter;2;Set;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Kaca Arlogi;10;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Pipet Tetes;50;Buah;Ruang Laboratorium Fisika Kimia dan Biologi;2016
Laboratorium Komputer;1;Ruangan;Ruang Laboratorium Komputer;2016
Kursi Siswa;1;Buah per Siswa;Ruang Laboratorium Komputer;2016
Meja Siswa;1;Buah per dua siswa;Ruang Laboratorium Komputer;2016
Meja Guru;1;Buah;Ruang Laboratorium Komputer;2016
Kursi Guru;1;Buah;Ruang Laboratorium Komputer;2016
Komputer;1;Unit per dua siswa;Ruang Laboratorium Komputer;2016
Papan Tulis;1;Buah;Ruang Laboratorium Komputer;2016
Tempat Sampah;1;Buah;Ruang Laboratorium Komputer;2016
Kursi Pimpinan;1;Buah;Ruang Pimpinan;2016
Meja Pimpinan;1;Buah;Ruang Pimpinan;2016
Kursi dan Meja Tamu;1;Set;Ruang Pimpinan;2016
Lemari;1;Buah;Ruang Pimpinan;2016
Papan Statistik;1;Buah;Ruang Pimpinan;2016
Simbol Kenegaraan;1;Set;Ruang Pimpinan;2016
Tempat Sampah;1;Buah;Ruang Pimpinan;2016
Ruang Kuriulum;1;Ruangan;Ruangan Kurikulum;2016
Kursi Kerja;1;Buah per Petugas;Ruangan Kurikulum;2016
Meja Kerja;1;Buah Per Petugas;Ruangan Kurikulum;2016
Printer;1;Unit;Ruangan Kurikulum;2016
Lemari;5;Buah;Ruangan Kurikulum;2016
Ruang Guru dan Wakil Kepala;2;Ruangan;Ruang Guru;2016
Kursi Kerja;1;Buah Per Guru;Ruang Guru;2016
