ID Prestasi,Jenis Lomba,Tingkat,Tanggal Mulai,Tanggal Selesai,Prestasi
1,Kegiatan Pramuka,Kabupaten,15/10/2014,16/10/2014,Juara 1
2,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 1
3,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 1
4,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 2
5,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 2
6,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 2
7,Kompetisi Sains Madrasah Bidang Biologi,Kabupaten,15/10/2014,16/10/2014,Juara 1
8,Kompetisi Sains Madrasah Bidang Matematika,Kabupaten,15/10/2014,16/10/2014,Juara 1
9,Kompetisi Sains Madrasah Bidang Kimia,Kabupaten,15/10/2014,16/10/2014,Juara 2
10,Kompetisi Sains Madrasah Bidang Ekonomi,Kabupaten,15/10/2014,16/10/2014,Juara 3
11,Kompetisi Sains Madrasah Bidang Bilogi,Kabupaten,15/10/2014,16/10/2014,Juara 2
12,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 1
13,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 1
14,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 1
15,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 3
16,Kompetisi Sains Madrasah ,Kabupaten,15/10/2014,16/10/2014,Juara 3
17,Pawai Takbir Idul Fitri,Kabupaten,15/10/2014,16/10/2014,Harapan 1
18,Karnaval HUT RI ke 72,Kabupaten,15/10/2014,16/10/2014,Juara 3
19,Pawai Takbir Idul Adha,Kabupaten,15/10/2014,16/10/2014,Juara 1
20,Pencak Silat PSHT Cup 3,Kabupaten,15/10/2014,16/10/2014,Juara 2
21,Pencak Silat PSHT Cup 3,Kabupaten,15/10/2014,16/10/2014,Juara 3
22,Kompetisi Sains Madrasah Bidang Biologi ,Kabupaten,15/10/2014,16/10/2014,Juara 1
23,Kompetisi Sains Madrasah Bidang Geografi,Kabupaten,15/10/2014,16/10/2014,Juara 1
24,Kompetisi Sains Madrasah Bidang Ekonomi,Kabupaten,15/10/2014,16/10/2014,Juara 1
25,Kompetisi Sains Madrasah Bidang Matematika,Kabupaten,15/10/2014,16/10/2014,Juara 2
26,Kompetisi Sains Madrasah Bidang Kimia,Kabupaten,15/10/2014,16/10/2014,Juara 2
27,Kompetisi Sains Madrasah Bidang Fisika ,Kabupaten,15/10/2014,16/10/2014,Juara 3
28,Adiwiyata Tingkat Kabupaten,Kabupaten,15/10/2014,16/10/2014,Juara 1
29,TTG Pramuka,Kabupaten,15/10/2014,16/10/2014,Juara 1
30,Festival Bagan Heritage,Kabupaten,15/10/2014,16/10/2014,Juara 3
31,Lomba K3,Kabupaten,15/10/2014,16/10/2014,Juara 1
32,Pawai Idul Fitri,Kabupaten,15/10/2014,16/10/2014,Juara 1
33,Lomba Kreatifitas Kerang,Kabupaten,15/10/2014,16/10/2014,Juara 2
34,Lomba Aubade,Kabupaten,15/10/2014,16/10/2014,Harapan 1
35,Pawai Idul Adha,Kabupaten,15/10/2014,16/10/2014,Juara 1
36,Lomba Melukis HUT PGRI,Kabupaten,15/10/2014,16/10/2014,Juara 2
37,Pencak Silat PSHT Cup 4,Kabupaten,15/10/2014,16/10/2014,Juara 2
38,Pencak Silat PSHT Cup 4,Kabupaten,15/10/2014,16/10/2014,Juara 3
39,Karnaval Hari Pahlawan,Kabupaten,15/10/2014,16/10/2014,Juara 3
40,Lomba Sholat Jenazah,Kecamatan,15/10/2014,16/10/2014,Juara 1
41,Lomba PBB HUT TNI ke 74,Kabupaten,15/10/2014,16/10/2014,Juara 3
42,Kompetisi Sains Madrasah Bidang Biologi ,Kabupaten,15/10/2014,16/10/2014,Juara 1
43,Kompetisi Sains Madrasah Bidang Matematika,Kabupaten,15/10/2014,16/10/2014,Juara 1
44,Kompetisi Sains Madrasah Bidang Fisika ,Kabupaten,15/10/2014,16/10/2014,Juara 2
45,Kompetisi Sains Madrasah Bidang Geografi,Kabupaten,15/10/2014,16/10/2014,Juara 2
46,Kompetisi Sains Madrasah Bidang Matematika,Kabupaten,15/10/2014,16/10/2014,Juara 3
47,Kompetisi Sains Madrasah Bidang Ekonomi,Kabupaten,15/10/2014,16/10/2014,Juara 3
48,Pawai Takbir Idul Fitri,Kabupaten,15/10/2014,16/10/2014,Juara 1
49,Inmas Award Kategori Video Kreatif Madrasah,Provinsi,15/10/2014,16/10/2014,Juara 2
50,Lomba Pidato Tingkat SMA/SMK/MA Sederajat,Kabupaten,15/10/2014,16/10/2014,Juara 2
51,Pawai Takbir Idul Adha,Kabupaten,15/10/2014,16/10/2014,Juara 1
52,Lomba Senam Kreasi Tingkat SMA Sederajat,Kabupaten,15/10/2014,16/10/2014,Juara 3
53,Lomba Adzan Tingkat SMA/SMK/MA Sederajat,Provinsi,15/10/2014,16/10/2014,Juara 1
54,Lomba Syarhil Qur'an SMA/SMK/MA Sederajat,Provinsi,15/10/2014,16/10/2014,Juara 1
55,Adiwiyata Tingkat Provinsi,Provinsi,15/10/2014,16/10/2014,Juara 1
56,Pencak Silat PSHT Cup 5,Kabupaten,15/10/2014,16/10/2014,Juara 2
57,Lomba Lintas Alam Pramuka,Kabupaten,15/10/2014,16/10/2014,Juara 3
